0,1,2,3,4,5,6,7,8,9
-7749.642379220648,-8122.101390123849,-8529.705430257616,-8890.183419753837,-8770.120415879288,-8899.265766992028,-8410.673137377695,-8793.795998277068,-8730.00330180933,-8558.647153539096
-7051.058867567489,-7260.601566854261,-7412.1442145836245,-7547.892466657174,-7691.636491003659,-7705.385719353124,-7398.626107555228,-7542.506691402671,-7443.421473521111,-7414.991751792804
-8238.291217484251,-8436.556353101903,-8497.044944537087,-8710.125580738339,-8598.627128588803,-8568.048857531016,-8645.649276016444,-8821.9768563445,-8616.368649438187,-8577.943921649376
-6489.032977408958,-6768.4124712480625,-6798.859222488527,-7121.497024671061,-7107.899311198204,-7127.369164649729,-6894.341787635015,-7113.9443769844565,-7219.180674535802,-6974.416168648841
-5021.995555931585,-5112.959386584087,-5507.980880698584,-5707.2878026011595,-6120.8903304507,-5757.449461242867,-5465.661158576002,-5750.106412258985,-5709.582457383597,-5768.470448753104
-8515.588306495622,-8761.358844979472,-9252.10243957018,-9640.232932203398,-10045.17437771813,-9640.270224582207,-9284.908115732158,-9597.275950753681,-9545.846609388656,-9736.599960046953
-5812.06200596061,-6086.730491046011,-6526.2049610737,-6756.023661923536,-6735.078998921204,-6691.730377320475,-6434.980753883661,-6767.6554793090345,-6481.885177609956,-6462.577636877933
-6042.227923362625,-6300.879581433616,-6750.769993462538,-7060.686184351777,-7072.360340134025,-7170.263984323735,-6673.397645274666,-6941.841164498733,-6892.605208710802,-6821.205738001466
-9648.297494008848,-9955.464587097546,-10423.204087083677,-10766.436722455039,-10577.045976419782,-10621.843072989199,-10541.101681066533,-10971.169870847241,-10691.682629378782,-10711.697962659242
-6085.260912646945,-6452.7901777148045,-6459.388481205431,-6718.391141139907,-6748.3660167762855,-6703.480857124956,-6435.6017238533905,-6794.597764099632,-6672.229425611751,-6767.714764256266
